,Date,Offset,Sleep
0,2017-12-01 05:00:00,-60,1
1,2017-12-01 05:01:00,-59,1
2,2017-12-01 05:02:00,-58,1
3,2017-12-01 05:03:00,-57,1
4,2017-12-01 05:04:00,-56,1
5,2017-12-01 05:05:00,-55,1
6,2017-12-01 05:06:00,-54,1
7,2017-12-01 05:07:00,-53,1
8,2017-12-01 05:08:00,-52,1
9,2017-12-01 05:09:00,-51,1
10,2017-12-01 05:10:00,-50,1
11,2017-12-01 05:11:00,-49,1
12,2017-12-01 05:12:00,-48,1
13,2017-12-01 05:13:00,-47,1
14,2017-12-01 05:14:00,-46,1
15,2017-12-01 05:15:00,-45,1
16,2017-12-01 05:16:00,-44,1
17,2017-12-01 05:17:00,-43,1
18,2017-12-01 05:18:00,-42,1
19,2017-12-01 05:19:00,-41,1
20,2017-12-01 05:20:00,-40,1
21,2017-12-01 05:21:00,-39,1
22,2017-12-01 05:22:00,-38,1
23,2017-12-01 05:23:00,-37,1
24,2017-12-01 05:24:00,-36,1
25,2017-12-01 05:25:00,-35,1
26,2017-12-01 05:26:00,-34,1
27,2017-12-01 05:27:00,-33,1
28,2017-12-01 05:28:00,-32,1
29,2017-12-01 05:29:00,-31,1
30,2017-12-01 05:30:00,-30,1
31,2017-12-01 05:31:00,-29,1
32,2017-12-01 05:32:00,-28,1
33,2017-12-01 05:33:00,-27,1
34,2017-12-01 05:34:00,-26,1
35,2017-12-01 05:35:00,-25,1
36,2017-12-01 05:36:00,-24,1
37,2017-12-01 05:37:00,-23,1
38,2017-12-01 05:38:00,-22,1
39,2017-12-01 05:39:00,-21,1
40,2017-12-01 05:40:00,-20,1
41,2017-12-01 05:41:00,-19,1
42,2017-12-01 05:42:00,-18,1
43,2017-12-01 05:43:00,-17,1
44,2017-12-01 05:44:00,-16,1
45,2017-12-01 05:45:00,-15,1
46,2017-12-01 05:46:00,-14,1
47,2017-12-01 05:47:00,-13,1
48,2017-12-01 05:48:00,-12,1
49,2017-12-01 05:49:00,-11,1
50,2017-12-01 05:50:00,-10,1
51,2017-12-01 05:51:00,-9,1
52,2017-12-01 05:52:00,-8,1
53,2017-12-01 05:53:00,-7,1
54,2017-12-01 05:54:00,-6,1
55,2017-12-01 05:55:00,-5,1
56,2017-12-01 05:56:00,-4,1
57,2017-12-01 05:57:00,-3,1
58,2017-12-01 05:58:00,-2,1
59,2017-12-01 05:59:00,-1,1
60,2017-12-01 06:00:00,0,1
61,2017-12-01 06:01:00,1,0
62,2017-12-01 06:02:00,2,0
63,2017-12-01 06:03:00,3,0
64,2017-12-01 06:04:00,4,0
65,2017-12-01 06:05:00,5,0
66,2017-12-01 06:06:00,6,0
67,2017-12-01 06:07:00,7,0
68,2017-12-01 06:08:00,8,0
69,2017-12-01 06:09:00,9,0
70,2017-12-01 06:10:00,10,0
71,2017-12-01 06:11:00,11,0
72,2017-12-01 06:12:00,12,0
73,2017-12-01 06:13:00,13,0
74,2017-12-01 06:14:00,14,0
75,2017-12-01 06:15:00,15,0
76,2017-12-01 06:16:00,16,0
77,2017-12-01 06:17:00,17,0
78,2017-12-01 06:18:00,18,0
79,2017-12-01 06:19:00,19,0
80,2017-12-01 06:20:00,20,0
81,2017-12-01 06:21:00,21,0
82,2017-12-01 06:22:00,22,0
83,2017-12-01 06:23:00,23,0
84,2017-12-01 06:24:00,24,0
85,2017-12-01 06:25:00,25,0
86,2017-12-01 06:26:00,26,0
87,2017-12-01 06:27:00,27,0
88,2017-12-01 06:28:00,28,0
89,2017-12-01 06:29:00,29,0
90,2017-12-01 06:30:00,30,0
91,2017-12-01 06:31:00,31,0
92,2017-12-01 06:32:00,32,0
93,2017-12-01 06:33:00,33,0
94,2017-12-01 06:34:00,34,0
95,2017-12-01 06:35:00,35,0
96,2017-12-01 06:36:00,36,0
97,2017-12-01 06:37:00,37,0
98,2017-12-01 06:38:00,38,0
99,2017-12-01 06:39:00,39,0
100,2017-12-01 06:40:00,40,0
101,2017-12-01 06:41:00,41,0
102,2017-12-01 06:42:00,42,0
103,2017-12-01 06:43:00,43,0
104,2017-12-01 06:44:00,44,0
105,2017-12-01 06:45:00,45,0
106,2017-12-01 06:46:00,46,0
107,2017-12-01 06:47:00,47,0
108,2017-12-01 06:48:00,48,0
109,2017-12-01 06:49:00,49,0
110,2017-12-01 06:50:00,50,0
111,2017-12-01 06:51:00,51,0
112,2017-12-01 06:52:00,52,0
113,2017-12-01 06:53:00,53,0
114,2017-12-01 06:54:00,54,0
115,2017-12-01 06:55:00,55,0
116,2017-12-01 06:56:00,56,0
117,2017-12-01 06:57:00,57,0
118,2017-12-01 06:58:00,58,0
119,2017-12-01 06:59:00,59,0
120,2017-12-02 05:00:00,-60,1
121,2017-12-02 05:01:00,-59,1
122,2017-12-02 05:02:00,-58,1
123,2017-12-02 05:03:00,-57,1
124,2017-12-02 05:04:00,-56,1
125,2017-12-02 05:05:00,-55,1
126,2017-12-02 05:06:00,-54,1
127,2017-12-02 05:07:00,-53,1
128,2017-12-02 05:08:00,-52,1
129,2017-12-02 05:09:00,-51,1
130,2017-12-02 05:10:00,-50,1
131,2017-12-02 05:11:00,-49,1
132,2017-12-02 05:12:00,-48,1
133,2017-12-02 05:13:00,-47,1
134,2017-12-02 05:14:00,-46,1
135,2017-12-02 05:15:00,-45,1
136,2017-12-02 05:16:00,-44,1
137,2017-12-02 05:17:00,-43,1
138,2017-12-02 05:18:00,-42,1
139,2017-12-02 05:19:00,-41,1
140,2017-12-02 05:20:00,-40,1
141,2017-12-02 05:21:00,-39,1
142,2017-12-02 05:22:00,-38,1
143,2017-12-02 05:23:00,-37,1
144,2017-12-02 05:24:00,-36,1
145,2017-12-02 05:25:00,-35,1
146,2017-12-02 05:26:00,-34,1
147,2017-12-02 05:27:00,-33,1
148,2017-12-02 05:28:00,-32,1
149,2017-12-02 05:29:00,-31,1
150,2017-12-02 05:30:00,-30,1
151,2017-12-02 05:31:00,-29,1
152,2017-12-02 05:32:00,-28,1
153,2017-12-02 05:33:00,-27,1
154,2017-12-02 05:34:00,-26,1
155,2017-12-02 05:35:00,-25,1
156,2017-12-02 05:36:00,-24,1
157,2017-12-02 05:37:00,-23,1
158,2017-12-02 05:38:00,-22,1
159,2017-12-02 05:39:00,-21,1
160,2017-12-02 05:40:00,-20,1
161,2017-12-02 05:41:00,-19,1
162,2017-12-02 05:42:00,-18,1
163,2017-12-02 05:43:00,-17,1
164,2017-12-02 05:44:00,-16,1
165,2017-12-02 05:45:00,-15,1
166,2017-12-02 05:46:00,-14,1
167,2017-12-02 05:47:00,-13,1
168,2017-12-02 05:48:00,-12,1
169,2017-12-02 05:49:00,-11,1
170,2017-12-02 05:50:00,-10,0
171,2017-12-02 05:51:00,-9,0
172,2017-12-02 05:52:00,-8,0
173,2017-12-02 05:53:00,-7,0
174,2017-12-02 05:54:00,-6,0
175,2017-12-02 05:55:00,-5,0
176,2017-12-02 05:56:00,-4,0
177,2017-12-02 05:57:00,-3,0
178,2017-12-02 05:58:00,-2,0
179,2017-12-02 05:59:00,-1,0
180,2017-12-02 06:00:00,0,0
181,2017-12-02 06:01:00,1,0
182,2017-12-02 06:02:00,2,0
183,2017-12-02 06:03:00,3,0
184,2017-12-02 06:04:00,4,0
185,2017-12-02 06:05:00,5,0
186,2017-12-02 06:06:00,6,0
187,2017-12-02 06:07:00,7,0
188,2017-12-02 06:08:00,8,0
189,2017-12-02 06:09:00,9,0
190,2017-12-02 06:10:00,10,0
191,2017-12-02 06:11:00,11,0
192,2017-12-02 06:12:00,12,0
193,2017-12-02 06:13:00,13,0
194,2017-12-02 06:14:00,14,0
195,2017-12-02 06:15:00,15,0
196,2017-12-02 06:16:00,16,0
197,2017-12-02 06:17:00,17,0
198,2017-12-02 06:18:00,18,0
199,2017-12-02 06:19:00,19,0
200,2017-12-02 06:20:00,20,0
201,2017-12-02 06:21:00,21,0
202,2017-12-02 06:22:00,22,0
203,2017-12-02 06:23:00,23,0
204,2017-12-02 06:24:00,24,0
205,2017-12-02 06:25:00,25,0
206,2017-12-02 06:26:00,26,0
207,2017-12-02 06:27:00,27,0
208,2017-12-02 06:28:00,28,0
209,2017-12-02 06:29:00,29,0
210,2017-12-02 06:30:00,30,0
211,2017-12-02 06:31:00,31,0
212,2017-12-02 06:32:00,32,0
213,2017-12-02 06:33:00,33,0
214,2017-12-02 06:34:00,34,0
215,2017-12-02 06:35:00,35,0
216,2017-12-02 06:36:00,36,0
217,2017-12-02 06:37:00,37,0
218,2017-12-02 06:38:00,38,0
219,2017-12-02 06:39:00,39,0
220,2017-12-02 06:40:00,40,0
221,2017-12-02 06:41:00,41,0
222,2017-12-02 06:42:00,42,0
223,2017-12-02 06:43:00,43,0
224,2017-12-02 06:44:00,44,0
225,2017-12-02 06:45:00,45,0
226,2017-12-02 06:46:00,46,0
227,2017-12-02 06:47:00,47,0
228,2017-12-02 06:48:00,48,0
229,2017-12-02 06:49:00,49,0
230,2017-12-02 06:50:00,50,0
231,2017-12-02 06:51:00,51,0
232,2017-12-02 06:52:00,52,0
233,2017-12-02 06:53:00,53,0
234,2017-12-02 06:54:00,54,0
235,2017-12-02 06:55:00,55,0
236,2017-12-02 06:56:00,56,0
237,2017-12-02 06:57:00,57,0
238,2017-12-02 06:58:00,58,0
239,2017-12-02 06:59:00,59,0
240,2017-12-03 05:00:00,-60,1
241,2017-12-03 05:01:00,-59,1
242,2017-12-03 05:02:00,-58,1
243,2017-12-03 05:03:00,-57,1
244,2017-12-03 05:04:00,-56,1
245,2017-12-03 05:05:00,-55,1
246,2017-12-03 05:06:00,-54,1
247,2017-12-03 05:07:00,-53,1
248,2017-12-03 05:08:00,-52,1
249,2017-12-03 05:09:00,-51,1
250,2017-12-03 05:10:00,-50,1
251,2017-12-03 05:11:00,-49,1
252,2017-12-03 05:12:00,-48,1
253,2017-12-03 05:13:00,-47,1
254,2017-12-03 05:14:00,-46,1
255,2017-12-03 05:15:00,-45,1
256,2017-12-03 05:16:00,-44,1
257,2017-12-03 05:17:00,-43,1
258,2017-12-03 05:18:00,-42,1
259,2017-12-03 05:19:00,-41,1
260,2017-12-03 05:20:00,-40,1
261,2017-12-03 05:21:00,-39,1
262,2017-12-03 05:22:00,-38,1
263,2017-12-03 05:23:00,-37,1
264,2017-12-03 05:24:00,-36,1
265,2017-12-03 05:25:00,-35,1
266,2017-12-03 05:26:00,-34,1
267,2017-12-03 05:27:00,-33,1
268,2017-12-03 05:28:00,-32,1
269,2017-12-03 05:29:00,-31,1
270,2017-12-03 05:30:00,-30,1
271,2017-12-03 05:31:00,-29,1
272,2017-12-03 05:32:00,-28,1
273,2017-12-03 05:33:00,-27,1
274,2017-12-03 05:34:00,-26,1
275,2017-12-03 05:35:00,-25,1
276,2017-12-03 05:36:00,-24,1
277,2017-12-03 05:37:00,-23,1
278,2017-12-03 05:38:00,-22,1
279,2017-12-03 05:39:00,-21,1
280,2017-12-03 05:40:00,-20,1
281,2017-12-03 05:41:00,-19,1
282,2017-12-03 05:42:00,-18,1
283,2017-12-03 05:43:00,-17,1
284,2017-12-03 05:44:00,-16,1
285,2017-12-03 05:45:00,-15,1
286,2017-12-03 05:46:00,-14,1
287,2017-12-03 05:47:00,-13,1
288,2017-12-03 05:48:00,-12,1
289,2017-12-03 05:49:00,-11,1
290,2017-12-03 05:50:00,-10,1
291,2017-12-03 05:51:00,-9,1
292,2017-12-03 05:52:00,-8,1
293,2017-12-03 05:53:00,-7,1
294,2017-12-03 05:54:00,-6,1
295,2017-12-03 05:55:00,-5,1
296,2017-12-03 05:56:00,-4,1
297,2017-12-03 05:57:00,-3,1
298,2017-12-03 05:58:00,-2,1
299,2017-12-03 05:59:00,-1,1
300,2017-12-03 06:00:00,0,0
301,2017-12-03 06:01:00,1,0
302,2017-12-03 06:02:00,2,0
303,2017-12-03 06:03:00,3,0
304,2017-12-03 06:04:00,4,0
305,2017-12-03 06:05:00,5,0
306,2017-12-03 06:06:00,6,0
307,2017-12-03 06:07:00,7,0
308,2017-12-03 06:08:00,8,0
309,2017-12-03 06:09:00,9,0
310,2017-12-03 06:10:00,10,0
311,2017-12-03 06:11:00,11,0
312,2017-12-03 06:12:00,12,0
313,2017-12-03 06:13:00,13,0
314,2017-12-03 06:14:00,14,0
315,2017-12-03 06:15:00,15,0
316,2017-12-03 06:16:00,16,0
317,2017-12-03 06:17:00,17,0
318,2017-12-03 06:18:00,18,0
319,2017-12-03 06:19:00,19,0
320,2017-12-03 06:20:00,20,0
321,2017-12-03 06:21:00,21,0
322,2017-12-03 06:22:00,22,0
323,2017-12-03 06:23:00,23,0
324,2017-12-03 06:24:00,24,0
325,2017-12-03 06:25:00,25,0
326,2017-12-03 06:26:00,26,0
327,2017-12-03 06:27:00,27,0
328,2017-12-03 06:28:00,28,0
329,2017-12-03 06:29:00,29,0
330,2017-12-03 06:30:00,30,0
331,2017-12-03 06:31:00,31,0
332,2017-12-03 06:32:00,32,0
333,2017-12-03 06:33:00,33,0
334,2017-12-03 06:34:00,34,0
335,2017-12-03 06:35:00,35,0
336,2017-12-03 06:36:00,36,0
337,2017-12-03 06:37:00,37,0
338,2017-12-03 06:38:00,38,0
339,2017-12-03 06:39:00,39,0
340,2017-12-03 06:40:00,40,0
341,2017-12-03 06:41:00,41,0
342,2017-12-03 06:42:00,42,0
343,2017-12-03 06:43:00,43,0
344,2017-12-03 06:44:00,44,0
345,2017-12-03 06:45:00,45,0
346,2017-12-03 06:46:00,46,0
347,2017-12-03 06:47:00,47,0
348,2017-12-03 06:48:00,48,0
349,2017-12-03 06:49:00,49,0
350,2017-12-03 06:50:00,50,0
351,2017-12-03 06:51:00,51,0
352,2017-12-03 06:52:00,52,0
353,2017-12-03 06:53:00,53,0
354,2017-12-03 06:54:00,54,0
355,2017-12-03 06:55:00,55,0
356,2017-12-03 06:56:00,56,0
357,2017-12-03 06:57:00,57,0
358,2017-12-03 06:58:00,58,0
359,2017-12-03 06:59:00,59,0
360,2017-12-04 05:00:00,-60,1
361,2017-12-04 05:01:00,-59,1
362,2017-12-04 05:02:00,-58,1
363,2017-12-04 05:03:00,-57,1
364,2017-12-04 05:04:00,-56,1
365,2017-12-04 05:05:00,-55,1
366,2017-12-04 05:06:00,-54,1
367,2017-12-04 05:07:00,-53,1
368,2017-12-04 05:08:00,-52,1
369,2017-12-04 05:09:00,-51,1
370,2017-12-04 05:10:00,-50,1
371,2017-12-04 05:11:00,-49,1
372,2017-12-04 05:12:00,-48,1
373,2017-12-04 05:13:00,-47,1
374,2017-12-04 05:14:00,-46,1
375,2017-12-04 05:15:00,-45,1
376,2017-12-04 05:16:00,-44,1
377,2017-12-04 05:17:00,-43,1
378,2017-12-04 05:18:00,-42,1
379,2017-12-04 05:19:00,-41,1
380,2017-12-04 05:20:00,-40,1
381,2017-12-04 05:21:00,-39,1
382,2017-12-04 05:22:00,-38,1
383,2017-12-04 05:23:00,-37,1
384,2017-12-04 05:24:00,-36,1
385,2017-12-04 05:25:00,-35,1
386,2017-12-04 05:26:00,-34,1
387,2017-12-04 05:27:00,-33,1
388,2017-12-04 05:28:00,-32,1
389,2017-12-04 05:29:00,-31,1
390,2017-12-04 05:30:00,-30,1
391,2017-12-04 05:31:00,-29,1
392,2017-12-04 05:32:00,-28,1
393,2017-12-04 05:33:00,-27,1
394,2017-12-04 05:34:00,-26,1
395,2017-12-04 05:35:00,-25,1
396,2017-12-04 05:36:00,-24,1
397,2017-12-04 05:37:00,-23,1
398,2017-12-04 05:38:00,-22,1
399,2017-12-04 05:39:00,-21,1
400,2017-12-04 05:40:00,-20,1
401,2017-12-04 05:41:00,-19,1
402,2017-12-04 05:42:00,-18,1
403,2017-12-04 05:43:00,-17,1
404,2017-12-04 05:44:00,-16,1
405,2017-12-04 05:45:00,-15,1
406,2017-12-04 05:46:00,-14,1
407,2017-12-04 05:47:00,-13,1
408,2017-12-04 05:48:00,-12,1
409,2017-12-04 05:49:00,-11,1
410,2017-12-04 05:50:00,-10,1
411,2017-12-04 05:51:00,-9,1
412,2017-12-04 05:52:00,-8,1
413,2017-12-04 05:53:00,-7,1
414,2017-12-04 05:54:00,-6,1
415,2017-12-04 05:55:00,-5,1
416,2017-12-04 05:56:00,-4,1
417,2017-12-04 05:57:00,-3,1
418,2017-12-04 05:58:00,-2,1
419,2017-12-04 05:59:00,-1,1
420,2017-12-04 06:00:00,0,1
421,2017-12-04 06:01:00,1,0
422,2017-12-04 06:02:00,2,0
423,2017-12-04 06:03:00,3,0
424,2017-12-04 06:04:00,4,0
425,2017-12-04 06:05:00,5,0
426,2017-12-04 06:06:00,6,0
427,2017-12-04 06:07:00,7,0
428,2017-12-04 06:08:00,8,0
429,2017-12-04 06:09:00,9,0
430,2017-12-04 06:10:00,10,0
431,2017-12-04 06:11:00,11,0
432,2017-12-04 06:12:00,12,0
433,2017-12-04 06:13:00,13,0
434,2017-12-04 06:14:00,14,0
435,2017-12-04 06:15:00,15,0
436,2017-12-04 06:16:00,16,0
437,2017-12-04 06:17:00,17,0
438,2017-12-04 06:18:00,18,0
439,2017-12-04 06:19:00,19,0
440,2017-12-04 06:20:00,20,0
441,2017-12-04 06:21:00,21,0
442,2017-12-04 06:22:00,22,0
443,2017-12-04 06:23:00,23,0
444,2017-12-04 06:24:00,24,0
445,2017-12-04 06:25:00,25,0
446,2017-12-04 06:26:00,26,0
447,2017-12-04 06:27:00,27,0
448,2017-12-04 06:28:00,28,0
449,2017-12-04 06:29:00,29,0
450,2017-12-04 06:30:00,30,0
451,2017-12-04 06:31:00,31,0
452,2017-12-04 06:32:00,32,0
453,2017-12-04 06:33:00,33,0
454,2017-12-04 06:34:00,34,0
455,2017-12-04 06:35:00,35,0
456,2017-12-04 06:36:00,36,0
457,2017-12-04 06:37:00,37,0
458,2017-12-04 06:38:00,38,0
459,2017-12-04 06:39:00,39,0
460,2017-12-04 06:40:00,40,0
461,2017-12-04 06:41:00,41,0
462,2017-12-04 06:42:00,42,0
463,2017-12-04 06:43:00,43,0
464,2017-12-04 06:44:00,44,0
465,2017-12-04 06:45:00,45,0
466,2017-12-04 06:46:00,46,0
467,2017-12-04 06:47:00,47,0
468,2017-12-04 06:48:00,48,0
469,2017-12-04 06:49:00,49,0
470,2017-12-04 06:50:00,50,0
471,2017-12-04 06:51:00,51,0
472,2017-12-04 06:52:00,52,0
473,2017-12-04 06:53:00,53,0
474,2017-12-04 06:54:00,54,0
475,2017-12-04 06:55:00,55,0
476,2017-12-04 06:56:00,56,0
477,2017-12-04 06:57:00,57,0
478,2017-12-04 06:58:00,58,0
479,2017-12-04 06:59:00,59,0
480,2017-12-05 05:00:00,-60,1
481,2017-12-05 05:01:00,-59,1
482,2017-12-05 05:02:00,-58,1
483,2017-12-05 05:03:00,-57,1
484,2017-12-05 05:04:00,-56,1
485,2017-12-05 05:05:00,-55,1
486,2017-12-05 05:06:00,-54,1
487,2017-12-05 05:07:00,-53,1
488,2017-12-05 05:08:00,-52,1
489,2017-12-05 05:09:00,-51,1
490,2017-12-05 05:10:00,-50,1
491,2017-12-05 05:11:00,-49,1
492,2017-12-05 05:12:00,-48,1
493,2017-12-05 05:13:00,-47,1
494,2017-12-05 05:14:00,-46,1
495,2017-12-05 05:15:00,-45,1
496,2017-12-05 05:16:00,-44,1
497,2017-12-05 05:17:00,-43,1
498,2017-12-05 05:18:00,-42,1
499,2017-12-05 05:19:00,-41,1
500,2017-12-05 05:20:00,-40,1
501,2017-12-05 05:21:00,-39,1
502,2017-12-05 05:22:00,-38,1
503,2017-12-05 05:23:00,-37,1
504,2017-12-05 05:24:00,-36,1
505,2017-12-05 05:25:00,-35,1
506,2017-12-05 05:26:00,-34,1
507,2017-12-05 05:27:00,-33,1
508,2017-12-05 05:28:00,-32,1
509,2017-12-05 05:29:00,-31,1
510,2017-12-05 05:30:00,-30,1
511,2017-12-05 05:31:00,-29,1
512,2017-12-05 05:32:00,-28,1
513,2017-12-05 05:33:00,-27,1
514,2017-12-05 05:34:00,-26,1
515,2017-12-05 05:35:00,-25,1
516,2017-12-05 05:36:00,-24,1
517,2017-12-05 05:37:00,-23,1
518,2017-12-05 05:38:00,-22,1
519,2017-12-05 05:39:00,-21,1
520,2017-12-05 05:40:00,-20,1
521,2017-12-05 05:41:00,-19,1
522,2017-12-05 05:42:00,-18,1
523,2017-12-05 05:43:00,-17,1
524,2017-12-05 05:44:00,-16,0
525,2017-12-05 05:45:00,-15,0
526,2017-12-05 05:46:00,-14,0
527,2017-12-05 05:47:00,-13,0
528,2017-12-05 05:48:00,-12,0
529,2017-12-05 05:49:00,-11,0
530,2017-12-05 05:50:00,-10,0
531,2017-12-05 05:51:00,-9,0
532,2017-12-05 05:52:00,-8,0
533,2017-12-05 05:53:00,-7,0
534,2017-12-05 05:54:00,-6,0
535,2017-12-05 05:55:00,-5,0
536,2017-12-05 05:56:00,-4,0
537,2017-12-05 05:57:00,-3,0
538,2017-12-05 05:58:00,-2,0
539,2017-12-05 05:59:00,-1,0
540,2017-12-05 06:00:00,0,0
541,2017-12-05 06:01:00,1,0
542,2017-12-05 06:02:00,2,0
543,2017-12-05 06:03:00,3,0
544,2017-12-05 06:04:00,4,0
545,2017-12-05 06:05:00,5,0
546,2017-12-05 06:06:00,6,0
547,2017-12-05 06:07:00,7,0
548,2017-12-05 06:08:00,8,0
549,2017-12-05 06:09:00,9,0
550,2017-12-05 06:10:00,10,0
551,2017-12-05 06:11:00,11,0
552,2017-12-05 06:12:00,12,0
553,2017-12-05 06:13:00,13,0
554,2017-12-05 06:14:00,14,0
555,2017-12-05 06:15:00,15,0
556,2017-12-05 06:16:00,16,0
557,2017-12-05 06:17:00,17,0
558,2017-12-05 06:18:00,18,0
559,2017-12-05 06:19:00,19,0
560,2017-12-05 06:20:00,20,0
561,2017-12-05 06:21:00,21,0
562,2017-12-05 06:22:00,22,0
563,2017-12-05 06:23:00,23,0
564,2017-12-05 06:24:00,24,0
565,2017-12-05 06:25:00,25,0
566,2017-12-05 06:26:00,26,0
567,2017-12-05 06:27:00,27,0
568,2017-12-05 06:28:00,28,0
569,2017-12-05 06:29:00,29,0
570,2017-12-05 06:30:00,30,0
